ex_id,name,category,difficulty_level,duration_sec,contraindications,gifUrl,bodyPart,secondaryMuscles,instructions
18,balance board,근력,1,20,quads,https://v2.exercisedb.io/image/WDnFXk4aWMCJJi,upper legs,,"Place the balance board on a flat surface. Step onto the balance board with one foot, ensuring it is centered. Slowly shift your weight onto the foot on the balance board, keeping your core engaged. Maintain your balance and stability as you hold the position for a desired amount of time. Repeat the exercise with the other foot."
19,basic toe touch (male),근력,2,20,glutes,https://v2.exercisedb.io/image/ZVrk9i1QyRzTkB,upper legs,,"Stand with your feet shoulder-width apart and your arms by your sides. Bend forward at the waist, keeping your back straight and your knees slightly bent. Reach down towards your toes with your hands, keeping your legs as straight as possible. Pause for a moment at the bottom, then slowly return to the starting position. Repeat for the desired number of repetitions."
20,bear crawl,근력,2,20,cardiovascular system,https://v2.exercisedb.io/image/CU7ulGA569adpS,cardio,,"Start on all fours with your hands directly under your shoulders and your knees directly under your hips. Lift your knees slightly off the ground, keeping your back flat and your core engaged. Move your right hand and left foot forward simultaneously, followed by your left hand and right foot. Continue crawling forward, alternating your hand and foot movements. Maintain a steady pace and keep your core tight throughout the exercise. Continue for the desired distance or time."
21,bench dip (knees bent),근력,2,20,triceps,https://v2.exercisedb.io/image/vkeO-6I-Ehdlpo,upper arms,,"Sit on the edge of a bench or chair with your hands gripping the edge next to your hips. Slide your butt off the bench and straighten your legs in front of you, keeping your heels on the ground. Bend your elbows and lower your body towards the ground, keeping your back close to the bench. Pause for a moment at the bottom, then push yourself back up to the starting position. Repeat for the desired number of repetitions."
22,bench dip on floor,근력,2,20,triceps,https://v2.exercisedb.io/image/UvEBQkLSXKmNCg,upper arms,,"Sit on the edge of a bench or chair with your hands gripping the edge, fingers pointing forward. Slide your butt off the bench, supporting your weight with your hands. Lower your body by bending your elbows until your upper arms are parallel to the floor. Push yourself back up to the starting position by straightening your arms. Repeat for the desired number of repetitions."
23,bench hip extension,근력,2,20,glutes,https://v2.exercisedb.io/image/hbYRkCu265IStj,upper legs,,"Sit on a bench with your back against the bench and your feet flat on the ground. Place your hands on the bench for support. Engage your glutes and hamstrings, then lift your hips off the bench until your body forms a straight line from your knees to your shoulders. Pause for a moment at the top, then slowly lower your hips back down to the starting position. Repeat for the desired number of repetitions."
24,bench pull-ups,근력,3,20,lats,https://v2.exercisedb.io/image/jBAdgotsMCRHN0,back,,"Position yourself under a bar or a sturdy horizontal surface that is at chest height. Grab the bar or surface with an overhand grip, slightly wider than shoulder-width apart. Hang with your arms fully extended and your body straight. Pull your chest towards the bar or surface by squeezing your shoulder blades together and bending your elbows. Continue pulling until your chin is above the bar or surface. Lower yourself back down to the starting position with control. Repeat for the desired number of repetitions."
25,bent knee lying twist (male),근력,1,20,glutes,https://v2.exercisedb.io/image/0zoTwWi25g9GWk,upper legs,,"Lie flat on your back with your knees bent and feet flat on the ground. Extend your arms out to the sides, perpendicular to your body. Keeping your knees together, slowly lower them to one side, aiming to touch the ground with your knees. Pause for a moment, then engage your core and slowly lift your knees back to the starting position. Repeat the movement to the other side. Continue alternating sides for the desired number of repetitions."
26,biceps leg concentration curl,근력,1,20,biceps,https://v2.exercisedb.io/image/lYvRIOG0ks7gce,upper arms,,"Sit on a bench with your legs spread apart and your feet flat on the ground. Hold a dumbbell in one hand and place your elbow on the inside of your thigh, just above the knee. With your palm facing up, curl the dumbbell towards your shoulder while keeping your upper arm stationary. Squeeze your biceps at the top of the movement, then slowly lower the dumbbell back to the starting position. Repeat for the desired number of repetitions, then switch arms."
27,biceps narrow pull-ups,근력,3,20,biceps,https://v2.exercisedb.io/image/v3CNSKHvzpZuXx,upper arms,,"Hang from a pull-up bar with your palms facing towards you and your hands shoulder-width apart. Engage your core and pull yourself up towards the bar, focusing on using your biceps to lift your body. Pause for a moment at the top, then slowly lower yourself back down to the starting position. Repeat for the desired number of repetitions."
28,biceps pull-up,근력,3,20,biceps,https://v2.exercisedb.io/image/4siVDkYEMAO2Gd,upper arms,,"Hang from a pull-up bar with your palms facing away from you and your hands shoulder-width apart. Engage your core and pull yourself up by bending your elbows, bringing your chest towards the bar. Pause at the top of the movement, then slowly lower yourself back down to the starting position. Repeat for the desired number of repetitions."
29,body-up,근력,2,20,triceps,https://v2.exercisedb.io/image/sbZIEWYlYl0Oqw,upper arms,,"Start by placing your hands on a raised surface, such as a bench or parallel bars, with your palms facing down and fingers pointing forward. Extend your legs out in front of you, keeping your heels on the ground and your body straight. Lower your body by bending your elbows, keeping them close to your sides, until your upper arms are parallel to the ground. Pause for a moment, then push through your palms to straighten your arms and lift your body back up to the starting position. Repeat for the desired number of repetitions."
30,bodyweight drop jump squat,유산소,3,20,glutes,https://v2.exercisedb.io/image/-2dzkoOStZiXmI,upper legs,,"Stand with your feet shoulder-width apart. Lower your body into a squat position by bending your knees and pushing your hips back. Jump up explosively, extending your hips, knees, and ankles. While in mid-air, quickly bring your feet together. Land softly on the balls of your feet and immediately drop back into a squat position. Repeat for the desired number of repetitions."
31,bodyweight incline side plank,근력,1,20,abs,https://v2.exercisedb.io/image/YpWud4gyZCYqg4,waist,,"Start by lying on your side with your legs extended and stacked on top of each other. Place your forearm on the ground directly below your shoulder, with your elbow bent at a 90-degree angle. Engage your core and lift your hips off the ground, creating a straight line from your head to your feet. Hold this position for the desired amount of time. Lower your hips back down to the ground and repeat on the other side."
32,bodyweight kneeling triceps extension,근력,2,20,triceps,https://v2.exercisedb.io/image/4Vn7cVWMX6SzC6,upper arms,,"Kneel down on the ground with your knees hip-width apart. Place your hands on the ground in front of you, shoulder-width apart, fingers pointing forward. Extend your legs straight behind you, balancing on your toes and hands, forming a straight line from head to heels. Bend your elbows and lower your upper body towards the ground, keeping your elbows close to your sides. Pause for a moment at the bottom, then push through your hands to straighten your arms and return to the starting position. Repeat for the desired number of repetitions."
33,bodyweight side lying biceps curl,근력,1,20,biceps,https://v2.exercisedb.io/image/S0djC85yaHLxBm,upper arms,,"Lie on your side with your legs extended and your head supported by your arm. Hold your upper arm against your side and bend your elbow to curl your forearm towards your shoulder. Pause for a moment at the top, then slowly lower your forearm back down to the starting position. Repeat for the desired number of repetitions."
34,bodyweight squatting row,근력,1,20,upper back,https://v2.exercisedb.io/image/LayT4WNa4tHO0Q,back,,"Stand with your feet shoulder-width apart, holding onto a sturdy object or suspension trainer with your arms extended. Lower your body into a squat position, keeping your back straight and your knees behind your toes. From the squat position, pull your body up towards the object or suspension trainer, squeezing your shoulder blades together. Pause for a moment at the top, then slowly lower your body back down to the starting position. Repeat for the desired number of repetitions."
35,bodyweight squatting row (with towel),근력,1,20,upper back,https://v2.exercisedb.io/image/KBeY0ACv0XPQOO,back,,"Stand with your feet shoulder-width apart, holding a towel in front of you with your palms facing down. Bend your knees and lower your body into a squat position, keeping your back straight and your chest up. As you lower into the squat, simultaneously pull the towel towards your chest, squeezing your shoulder blades together. Pause for a moment at the bottom of the squat, then slowly return to the starting position while extending your arms. Repeat for the desired number of repetitions."
36,bodyweight standing calf raise,근력,2,20,calves,https://v2.exercisedb.io/image/FwEWEQYUxnabhw,lower legs,,"Stand with your feet shoulder-width apart, toes pointing forward. Place your hands on a wall or stable surface for balance. Slowly raise your heels off the ground, lifting your body weight onto the balls of your feet. Pause for a moment at the top, then slowly lower your heels back down to the starting position. Repeat for the desired number of repetitions."
37,bodyweight standing close-grip one arm row,근력,1,20,upper back,https://v2.exercisedb.io/image/M5RCUNf47k7tAy,back,,"Stand with your feet shoulder-width apart, knees slightly bent, and hold a dumbbell in one hand with a neutral grip. Bend forward at the hips, keeping your back straight and your core engaged. Pull the dumbbell up towards your chest, keeping your elbow close to your body and squeezing your shoulder blades together. Pause for a moment at the top, then slowly lower the dumbbell back down to the starting position. Repeat for the desired number of repetitions, then switch sides."
38,bodyweight standing close-grip row,근력,2,20,upper back,https://v2.exercisedb.io/image/ey7nBdUQPMpPVg,back,,"Stand with your feet shoulder-width apart and knees slightly bent. Bend forward at the waist, keeping your back straight and your core engaged. Extend your arms straight in front of you, gripping the bar or handles with a close grip. Pull the bar or handles towards your body, squeezing your shoulder blades together. Pause for a moment at the top of the movement, then slowly release and return to the starting position. Repeat for the desired number of repetitions."
39,bodyweight standing one arm row,근력,1,20,upper back,https://v2.exercisedb.io/image/Io3cLSzpCI0L09,back,,"Stand with your feet shoulder-width apart, knees slightly bent, and hold a dumbbell in one hand. Bend forward at the hips, keeping your back straight and your core engaged. Let the dumbbell hang straight down in front of you, with your arm fully extended. Pull the dumbbell up towards your chest, keeping your elbow close to your body. Squeeze your shoulder blades together at the top of the movement. Lower the dumbbell back down to the starting position. Repeat for the desired number of repetitions, then switch sides."
40,bodyweight standing one arm row (with towel),근력,1,20,upper back,https://v2.exercisedb.io/image/MBXdF5p6kJAhT0,back,,"Stand with your feet shoulder-width apart, knees slightly bent, and hold a towel with one hand. Bend forward at the hips, keeping your back straight and your core engaged. Pull the towel towards your chest, squeezing your shoulder blades together. Pause for a moment at the top, then slowly lower the towel back to the starting position. Repeat for the desired number of repetitions, then switch to the other arm."
41,bodyweight standing row,근력,2,20,upper back,https://v2.exercisedb.io/image/ij1CJSBoZWXF-F,back,,"Stand with your feet shoulder-width apart and knees slightly bent. Grasp a bar or handles with an overhand grip, palms facing down. Keep your back straight and core engaged. Pull the bar or handles towards your body, squeezing your shoulder blades together. Pause for a moment at the top of the movement. Slowly release and extend your arms back to the starting position. Repeat for the desired number of repetitions."
42,bodyweight standing row (with towel),근력,1,20,upper back,https://v2.exercisedb.io/image/eYrEXv4krQocsU,back,,"Stand with your feet shoulder-width apart and hold a towel in front of you with both hands. Bend your knees slightly and hinge forward at the hips, keeping your back straight. Pull the towel towards your chest, squeezing your shoulder blades together. Pause for a moment at the top, then slowly release the tension and return to the starting position. Repeat for the desired number of repetitions."
43,bottoms-up,근력,1,20,abs,https://v2.exercisedb.io/image/uJM68uWED8V7eV,waist,,"Lie flat on your back with your legs extended and your arms by your sides. Bend your knees and bring them towards your chest, keeping your feet off the ground. Engaging your abs, lift your hips off the ground, bringing your knees towards your head. Pause for a moment at the top, then slowly lower your hips back down to the starting position. Repeat for the desired number of repetitions."
44,box jump down with one leg stabilization,유산소,3,20,calves,https://v2.exercisedb.io/image/mrvkxsiMqQrQIu,lower legs,,"Stand in front of a box or platform with your feet shoulder-width apart. Bend your knees and jump onto the box, landing softly with one foot on the box and the other foot hanging off the edge. Stabilize yourself on the box with the foot that is on it, while keeping the other foot off the ground. Hold this position for a few seconds, engaging your calf muscles to maintain balance. Slowly step down with the foot that is on the box, returning to the starting position. Repeat the exercise with the other leg."
45,bridge - mountain climber (cross body),근력,2,20,abs,https://v2.exercisedb.io/image/0FyhwtAAGu3bx0,waist,,"Start in a high plank position with your hands directly under your shoulders and your body in a straight line. Engage your core and lift your right foot off the ground, bringing your right knee towards your left elbow. Return your right foot to the starting position and repeat the movement with your left foot towards your right elbow. Continue alternating sides, moving at a controlled pace. Keep your hips level and avoid lifting your hips too high or sagging them too low. Maintain a steady breathing pattern throughout the exercise. Repeat for the desired number of repetitions."
46,burpee,유산소,3,20,cardiovascular system,https://v2.exercisedb.io/image/Ouk-Qv9vZOZdwd,cardio,,"Start in a standing position with your feet shoulder-width apart. Lower your body into a squat position by bending your knees and placing your hands on the floor in front of you. Kick your feet back into a push-up position. Perform a push-up, keeping your body in a straight line. Jump your feet back into the squat position. Jump up explosively, reaching your arms overhead. Land softly and immediately lower back into a squat position to begin the next repetition."
47,butt-ups,근력,1,20,abs,https://v2.exercisedb.io/image/IYMUYnpeGnvTIw,waist,,"Lie flat on your back with your knees bent and feet flat on the ground. Place your hands by your sides, palms facing down. Engaging your abs, lift your legs off the ground, bringing your knees towards your chest. At the top of the movement, squeeze your abs and pause for a moment. Slowly lower your legs back down to the starting position. Repeat for the desired number of repetitions."
48,butterfly yoga pose,스트레칭,1,20,adductors,https://v2.exercisedb.io/image/SniB2xypgLYKsv,upper legs,,"Sit on the floor with your legs extended in front of you. Bend your knees and bring the soles of your feet together, allowing your knees to fall out to the sides. Hold onto your ankles or feet with your hands. Sit up tall and lengthen your spine. Gently press your knees down towards the floor, feeling a stretch in your inner thighs. Hold this position for a few breaths. To release, slowly bring your knees back up and extend your legs."
49,calf push stretch with hands against wall,스트레칭,1,20,calves,https://v2.exercisedb.io/image/h5FdrEaBuW2pUr,lower legs,,"Stand facing a wall with your feet hip-width apart. Place your hands against the wall at shoulder height. Step back with one foot, keeping your heel on the ground and your leg straight. Bend your front knee slightly and lean forward, feeling a stretch in your calf. Hold the stretch for 20-30 seconds. Switch legs and repeat the stretch."
50,calf stretch with hands against wall,스트레칭,1,20,calves,https://v2.exercisedb.io/image/y3RY1ScmzzMws0,lower legs,,"Stand facing a wall with your feet hip-width apart. Place your hands against the wall at shoulder height. Step your right foot back, keeping your heel on the ground and your leg straight. Bend your left knee and lean forward, keeping your back leg straight and your heel on the ground. Hold the stretch for 20-30 seconds. Switch legs and repeat the stretch."
51,captains chair straight leg raise,근력,2,20,abs,https://v2.exercisedb.io/image/ba0e9-rFGzIdXP,waist,,"Sit on the captain's chair with your back against the backrest and your forearms resting on the arm pads. Keep your upper body stable and your back straight. Engage your abs and lift your legs up in front of you, keeping them straight. Continue lifting until your legs are parallel to the ground or as high as you can comfortably go. Pause for a moment at the top, then slowly lower your legs back down to the starting position. Repeat for the desired number of repetitions."
52,chair leg extended stretch,스트레칭,1,20,quads,https://v2.exercisedb.io/image/S4ACYtKKE7pHhU,upper legs,,"Sit on the edge of a chair with your back straight and feet flat on the ground. Extend one leg straight out in front of you, keeping your heel on the ground. Lean forward slightly, feeling a stretch in your quadriceps. Hold this position for 20-30 seconds. Switch legs and repeat the stretch."
53,chest and front of shoulder stretch,스트레칭,1,20,pectorals,https://v2.exercisedb.io/image/m9r9FcT49zdirO,chest,,"Stand tall with your feet shoulder-width apart. Extend your arms straight out in front of you at shoulder height. Cross your arms in front of your body, with your right arm on top of your left arm. Interlace your fingers and press your palms together. Gently squeeze your shoulder blades together and push your hands forward, feeling a stretch in your chest and front of your shoulders. Hold the stretch for 20-30 seconds, then release. Repeat for the desired number of repetitions."
54,chest dip,근력,2,20,pectorals,https://v2.exercisedb.io/image/t5WOoCZt3k6rJY,chest,,Position yourself on parallel bars with your arms fully extended and your body straight. Lower your body by bending your elbows until your shoulders are below your elbows. Push yourself back up to the starting position by straightening your arms. Repeat for the desired number of repetitions.
55,chest dip (on dip-pull-up cage),유산소,3,20,pectorals,https://v2.exercisedb.io/image/TJnWqFWJnhJZ82,chest,,"Adjust the dip bars to a height that allows you to comfortably grip them. Stand between the bars and place your hands on each bar, slightly wider than shoulder-width apart. Jump up and straighten your arms, supporting your body weight on the bars. Bend your knees and cross your ankles behind you. Lower your body by bending your elbows, keeping your chest up and your shoulders down. Continue lowering until your shoulders are below your elbows or until you feel a stretch in your chest. Push through your palms and extend your elbows to raise your body back up to the starting position. Repeat for the desired number of repetitions."
56,chest dip on straight bar,근력,2,20,pectorals,https://v2.exercisedb.io/image/oaVTRZ23sO74Wm,chest,,Grab the parallel bars with your palms facing down and your arms fully extended. Bend your knees and cross your ankles. Lower your body by bending your arms until your shoulders are below your elbows. Push yourself back up to the starting position by straightening your arms. Repeat for the desired number of repetitions.
57,chest tap push-up (male),근력,2,20,pectorals,https://v2.exercisedb.io/image/HoFYyroLWTnPup,chest,,"Start in a high plank position with your hands slightly wider than shoulder-width apart and your body in a straight line. Lower your body towards the ground by bending your elbows, keeping them close to your sides. As you lower yourself, tap your chest with your right hand. Push yourself back up to the starting position. Repeat the movement, this time tapping your chest with your left hand. Continue alternating sides for the desired number of repetitions."
58,chin-up,근력,3,20,lats,https://v2.exercisedb.io/image/fbHw04h207EEwp,back,,"Hang from a pull-up bar with your palms facing towards you and your hands shoulder-width apart. Engage your core and pull your body up towards the bar, leading with your chest. Continue pulling until your chin is above the bar. Pause for a moment at the top, then slowly lower your body back down to the starting position. Repeat for the desired number of repetitions."
59,chin-ups (narrow parallel grip),근력,3,20,upper back,https://v2.exercisedb.io/image/sQAGp2nZq-llUZ,back,,"Hang from a pull-up bar with a narrow parallel grip, palms facing towards you. Engage your back muscles and pull your body up towards the bar, keeping your elbows close to your body. Continue pulling until your chin is above the bar. Pause for a moment at the top, then slowly lower your body back down to the starting position. Repeat for the desired number of repetitions."
60,circles knee stretch,스트레칭,1,20,calves,https://v2.exercisedb.io/image/CV8VnOkZNyWh7r,lower legs,,"Stand with your feet shoulder-width apart and your hands on your hips. Bend your knees slightly and lift your heels off the ground, balancing on the balls of your feet. Keeping your knees bent, rotate your knees in a circular motion, first clockwise and then counterclockwise. Perform the movement for the desired number of repetitions."
61,clap push up,유산소,3,20,pectorals,https://v2.exercisedb.io/image/cvcgaPBenyxcGr,chest,,"Start in a high plank position with your hands slightly wider than shoulder-width apart. Lower your body towards the ground by bending your elbows, keeping your core engaged. Push through your palms explosively to propel your body off the ground. While in mid-air, clap your hands together before landing back in the starting position. Repeat for the desired number of repetitions."
62,clock push-up,근력,2,20,pectorals,https://v2.exercisedb.io/image/8I8jL22RdYAiXE,chest,,"Start in a high plank position with your hands directly under your shoulders and your body in a straight line. Lower your body towards the ground by bending your elbows, keeping them close to your sides. As you lower, rotate your body to the left, extending your left arm straight out to the side. Push back up to the starting position, while rotating your body to the center. Repeat the push-up, this time rotating your body to the right and extending your right arm out to the side. Continue alternating sides with each repetition."
63,close grip chin-up,근력,3,20,lats,https://v2.exercisedb.io/image/WQgpZtmrH9dUDP,back,,"Grab the pull-up bar with your palms facing towards you and your hands shoulder-width apart. Hang from the bar with your arms fully extended and your feet off the ground. Engage your back muscles and pull your body up towards the bar, keeping your elbows close to your body. Continue pulling until your chin is above the bar. Pause for a moment at the top, then slowly lower your body back down to the starting position. Repeat for the desired number of repetitions."
64,close-grip push-up,근력,2,20,triceps,https://v2.exercisedb.io/image/py6ZgMVTzo2nuu,upper arms,,"Start in a high plank position with your hands placed close together, directly under your shoulders. Engage your core and lower your body towards the ground, keeping your elbows close to your sides. Push through your palms to extend your arms and return to the starting position. Repeat for the desired number of repetitions."
65,close-grip push-up (on knees),근력,2,20,triceps,https://v2.exercisedb.io/image/SfiO4lZvOWpTkN,upper arms,,"Start by getting on your hands and knees, with your hands shoulder-width apart and your knees hip-width apart. Lower your upper body towards the ground by bending your elbows, keeping them close to your sides. Pause for a moment when your chest is just above the ground. Push through your palms to straighten your arms and return to the starting position. Repeat for the desired number of repetitions."
66,cocoons,근력,1,20,abs,https://v2.exercisedb.io/image/JB5hivOnqD6tXc,waist,,"Lie flat on your back with your knees bent and feet flat on the ground. Place your hands behind your head with your elbows pointing outwards. Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle. Pause for a moment at the top, then slowly lower your upper body back down to the starting position. Repeat for the desired number of repetitions."
67,crab twist toe touch,근력,2,20,abs,https://v2.exercisedb.io/image/UOqG3FJGI1x4vE,waist,,"Start by sitting on the ground with your knees bent and feet flat on the floor. Place your hands behind you, fingers pointing towards your feet, and lift your hips off the ground. Extend one leg straight out in front of you while simultaneously reaching your opposite hand towards your toes. Return to the starting position and repeat on the other side. Continue alternating sides for the desired number of repetitions."
68,cross body crunch,유산소,1,20,abs,https://v2.exercisedb.io/image/ymO9XsWLyNMoo8,waist,,"Lie flat on your back with your knees bent and feet flat on the ground. Place your hands behind your head with your elbows pointing outwards. Engaging your abs, lift your upper body off the ground and twist to bring your right elbow towards your left knee. Pause for a moment at the top, then slowly lower your upper body back down to the starting position. Repeat on the other side, bringing your left elbow towards your right knee. Repeat for the desired number of repetitions."
69,crunch (hands overhead),유산소,1,20,abs,https://v2.exercisedb.io/image/a5rshnjm96lRYn,waist,,"Lie flat on your back with your knees bent and feet flat on the ground. Extend your arms straight above your head. Engaging your abs, lift your upper body off the ground, curling forward towards your knees. Pause for a moment at the top, then slowly lower your upper body back down to the starting position. Repeat for the desired number of repetitions."
70,crunch floor,유산소,1,20,abs,https://v2.exercisedb.io/image/XW5RPBM9a4Rw8L,waist,,"Lie flat on your back with your knees bent and feet flat on the ground. Place your hands behind your head with your elbows pointing outwards. Engage your abs and lift your shoulders off the ground, curling forward towards your knees. Pause for a moment at the top, then slowly lower your shoulders back down to the starting position. Repeat for the desired number of repetitions."
71,curl-up,근력,1,20,abs,https://v2.exercisedb.io/image/As1gRVvzUEItyx,waist,,"Lie flat on your back with your knees bent and feet flat on the ground. Place your hands behind your head with your elbows pointing outwards. Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle. Pause for a moment at the top, then slowly lower your upper body back down to the starting position. Repeat for the desired number of repetitions."
72,curtsey squat,근력,2,20,glutes,https://v2.exercisedb.io/image/xzJx50tq92pSQe,upper legs,,"Stand with your feet shoulder-width apart. Take a step diagonally behind and across your body with your right foot, crossing it behind your left leg. Bend both knees as if you were curtsying, lowering your body towards the ground. Keep your torso upright and your weight on your front foot. Push through your front foot to return to the starting position. Repeat on the other side, stepping diagonally behind and across your body with your left foot."
73,dead bug,근력,1,20,abs,https://v2.exercisedb.io/image/comLQZWHj8EssZ,waist,,"Lie flat on your back with your arms extended towards the ceiling. Bend your knees and lift your legs off the ground, creating a 90-degree angle at your hips and knees. Engage your core and lower back to press your lower back into the ground. Slowly lower your right arm and left leg towards the ground, keeping them straight and hovering just above the floor. Pause for a moment, then return to the starting position. Repeat the movement with your left arm and right leg. Continue alternating sides for the desired number of repetitions."
